StockCode,Quantity,UnitPrice,CustomerID
48185,2,7.95,13534.0
23013,4,3.95,14894.0
21313,-4,0.85,12921.0
22382,4,1.65,17229.0
21212,24,0.55,15144.0
22558,2,1.65,14667.0
21533,1,4.95,14606.0
22726,24,3.75,12583.0
84865,2,8.5,15311.0
21314,8,2.1,14194.0
22151,10,0.42,15033.0
23132,1,5.75,16161.0
22107,12,3.29,14096.0
21129,7,6.95,15218.0
22086,12,2.95,14503.0
47566,16,4.95,17704.0
21669,24,1.25,16011.0
22082,5,1.65,17133.0
22768,2,9.95,14758.0
22072,1,3.75,16674.0
71477,1,3.25,14527.0
22840,2,7.95,13709.0
23198,-1,1.45,14572.0
22776,1,9.95,13334.0
22507,4,4.95,16837.0
22539,24,0.42,12433.0
85123A,96,2.55,13798.0
22179,12,6.75,18242.0
23388,2,4.15,16015.0
22624,2,8.5,14895.0
23494,1,5.95,15525.0
84380,1,1.45,14684.0
23318,48,2.08,15764.0
22191,2,8.5,12681.0
22951,24,0.55,14005.0
22952,6,0.55,17576.0
22621,2,1.45,16110.0
21408,1,4.25,14606.0
22654,3,5.95,14146.0
22960,-2,4.25,15281.0
22382,3,1.65,14669.0
22343,24,0.21,13069.0
22367,2,1.95,14056.0
23343,1,2.08,15058.0
22452,6,2.95,15249.0
35004B,12,4.65,13078.0
20713,3,2.08,15747.0
22193,1,8.5,13124.0
82483,16,4.95,17975.0
22722,1,3.95,17813.0
22286,1,0.39,15877.0
22274,1,2.95,13755.0
21975,24,0.55,12876.0
21928,10,2.08,15950.0
23114,1,4.95,17870.0
22759,1,1.65,17341.0
35471D,5,0.39,16744.0
23222,12,0.83,17015.0
21484,1,4.25,15022.0
23389,4,4.15,17084.0
21122,24,1.25,16292.0
22975,6,1.25,16744.0
23006,24,0.42,17049.0
23196,12,1.45,13988.0
22419,5,0.42,15856.0
82580,2,0.55,14527.0
23225,12,0.83,17314.0
23170,48,1.45,12731.0
22866,12,2.1,17183.0
84970L,12,1.25,14422.0
22314,6,2.95,13081.0
22712,12,0.42,15547.0
22130,-1,0.85,16554.0
72807B,1,4.25,16932.0
22431,-1,1.95,12474.0
22886,2,1.95,16361.0
23309,2,0.55,16360.0
85099B,10,2.08,17735.0
22427,3,5.95,13690.0
23100,1,1.25,17238.0
22745,6,2.1,12626.0
23206,10,1.65,15727.0
22187,1,4.25,17218.0
22279,12,1.25,12867.0
47590B,6,5.45,14012.0
22510,7,3.75,13755.0
23280,24,0.83,12583.0
21733,2,2.95,17841.0
22178,12,1.25,16571.0
84949,12,1.65,13116.0
22138,3,4.95,12963.0
22573,1,0.85,13558.0
22075,24,0.39,18180.0
21843,2,10.95,15145.0
22652,10,1.65,12406.0
23510,2,0.42,13772.0
22917,2,0.65,16059.0
90204,1,3.35,17360.0
20983,12,0.85,15145.0
22382,10,1.65,13365.0
22488,1,3.29,14096.0
20750,2,7.95,18130.0
35970,3,1.69,16360.0
85036B,6,1.25,17238.0
20975,5,0.65,12508.0
23169,1,4.15,12748.0
21108,18,0.79,13021.0
16156S,25,0.42,13692.0
21616,3,1.25,14449.0
21716,2,2.55,15004.0
21974,12,1.45,16839.0
22233,1,0.59,17585.0
21446,2,1.25,14130.0
22713,12,0.42,13426.0
22846,1,16.95,16316.0
22147,3,1.45,15555.0
22644,12,1.45,13362.0
47343A,1,0.83,12743.0
23263,12,1.25,14507.0
21807,1,0.42,14704.0
21114,10,1.25,13437.0
22960,-2,3.75,17389.0
22123,2,4.13,14096.0
84992,1,0.55,16222.0
23103,24,1.65,17348.0
21678,6,0.85,14461.0
22244,-1,1.95,14415.0
22698,6,2.95,14961.0
23147,12,1.45,17828.0
22753,3,0.85,15529.0
84380,12,1.25,15358.0
20971,12,1.25,16767.0
20975,3,0.65,12867.0
22195,12,1.65,12588.0
22422,12,0.12,16931.0
21790,3,0.85,15427.0
21163,1,0.39,16474.0
23129,2,4.15,18069.0
